Year,City,Population,Average Wage,Number of Employees,65+ percentage,0-17 percentage
2002,אום אל-פחם,38,3357,8131,2.479447723,47.83937605
2002,אופקים,23.2,4258,7876,9.439489897,37.54254448
2002,אור יהודה,28.6,5596,12665,8.383170706,30.57041933
2002,אור עקיבא,15.7,4192,7009,9.771362882,29.79307702
2002,אילת,42.1,5440,25251,5.700848001,27.36169505
2002,אריאל,16.3,5453,8033,7.394711068,29.1013712
2002,אשדוד,187.5,5479,72694,10.81807564,32.60462611
2002,אשקלון,103.2,4993,40956,12.96825504,29.08291275
2002,באקה אל-גרביה,19.8,,,2.876899006,44.73830313
2002,באר שבע,181.5,5731,76307,11.58252647,27.82164959
2002,בית שאן,15.9,4642,7130,6.905210295,36.00125549
2002,בית שמש,53.4,5289,15872,4.865209165,46.47145881
2002,ביתר עילית,20.2,3295,3249,0.697881608,61.73035043
2002,בני ברק,138.9,4738,32380,8.382642998,46.92552441
2002,בת ים,133.9,4765,61897,17.8246809,21.7741032
2002,גבעתיים,47.4,8317,23046,20.08235667,20.26185197
2002,דימונה,33.7,5129,12575,9.358978158,31.83178733
2002,הוד השרון,38.6,8890,17875,8.212322373,30.83445701
2002,הרצלייה,83.3,8116,40294,12.93617736,23.74773434
2002,חדרה,74,5464,33778,11.97487505,28.60191814
2002,חולון,165.8,5877,77914,14.38757782,24.50050673
2002,חיפה,270.8,6762,116039,17.78279992,22.63617933
2002,טבריה,39.8,4597,16729,9.455760102,32.04912475
2002,טייבה,30.4,3913,7795,3.322597607,44.38017615
2002,טירה,19.3,4184,4661,3.900948039,43.45438533
2002,טירת כרמל,18.7,4605,7571,11.06596814,27.44573933
2002,טמרה,24,3540,5648,3.029168227,44.9506928
2002,יבנה,31.7,7205,13911,5.885132794,33.02353423
2002,יהוד,22,,,8.826470321,30.16998455
2002,ירושלים,680.4,5940,187707,8.245903061,40.4247502
2002,כפר סבא,77.8,7826,38247,11.52669597,26.80008226
2002,כרמיאל,42.4,5583,20004,11.98773151,26.50230034
2002,לוד,66.5,4990,26349,9.918833609,33.29776041
2002,מגדל העמק,24.5,4693,10049,10.94494927,32.41106719
2002,מודיעין,34.7,,,2.651471437,42.67743797
2002,מעלה אדומים,26.5,6794,11955,4.25515834,39.37722016
2002,מעלות-תרשיחא,20.7,4863,8595,10.40437264,31.30018381
